iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.9616465732665 2.520054721943486e6 2.520054721943486e6 2.520054721943486e6 0.0 0.0
1000.0 11.904022273799999 -49385.95047475166 2.3838579569711722e6 2.3838579569711722e6 2.4519563394573294e6 999.0 1.0
2000.0 23.808044547599998 -91092.21979339936 2.261538202297461e6 2.261538202297461e6 2.388483627070707e6 1998.0 2.0
3000.0 35.42572095195 -130486.49713068339 2.147480733936808e6 2.147480733936808e6 2.328232903787232e6 2997.0 3.0
4000.0 47.023493207399994 -167765.02875593162 2.0411463168143407e6 2.0411463168143407e6 2.2708155863926536e6 3996.0 4.0
5000.0 57.73669112719999 -203105.70588005634 1.9420037541237895e6 1.9420037541237895e6 2.216013614347843e6 4995.0 5.0
6000.0 69.61461121415 -236667.31388199065 1.8495839260538411e6 1.8495839260538411e6 2.1636665160201285e6 5994.0 6.0
7000.0 81.32446405600001 -268604.27964935766 1.7634518330899377e6 1.7634518330899377e6 2.1136396806538547e6 6993.0 7.0
8000.0 93.02001956175 -299061.4253338417 1.6831782143109455e6 1.6831782143109455e6 2.0658106288379757e6 7992.0 8.0
9000.0 104.5842384157 -328161.55365491484 1.608362688373491e6 1.608362688373491e6 2.0200658347915274e6 8991.0 9.0
10000.0 115.94322328015002 -356024.07424745127 1.5386320358183184e6 1.5386320358183184e6 1.976299125793963e6 9990.0 10.0
11000.0 126.92915690465001 -382758.15209867136 1.4736621338445873e6 1.4736621338445873e6 1.9344127097981817e6 10989.0 11.0
11000.0 138.85654511290005 -382758.15209867136 1.4736621338445873e6 1.4736621338445873e6 1.8989703578017515e6 11489.0 12.0
