iter time primal d dmin davg lmo1 lmo2
0.0 0.0 -2672.961646566184 2.5200547219435787e6 2.5200547219435787e6 2.5200547219435787e6 0.0 0.0
501.0 6.275270171449999 -26728.38536726209 2.4501676512415544e6 2.4501676512415544e6 2.485111186592567e6 500.05 0.95
1002.0 12.550540342899998 -48986.64180839595 2.384933993466309e6 2.384933993466309e6 2.451718788883814e6 1000.15 1.85
1503.0 18.986257083550004 -70586.95901414282 2.3219072528297557e6 2.3219072528297557e6 2.4192659048702996e6 1499.85 3.15
2004.0 25.242478334649995 -91136.61663353573 2.261911624393176e6 2.261911624393176e6 2.387795048774875e6 1999.6 4.4
2505.0 31.2796314833 -111148.25457527854 2.203960123022168e6 2.203960123022168e6 2.3571558944827574e6 2499.2 5.8
3006.0 37.73002668995 -130898.29953681053 2.1473281133722793e6 2.1473281133722793e6 2.3271804971812605e6 2999.0 7.0
3507.0 43.86887527980001 -149746.37195788912 2.0935768274392553e6 2.0935768274392553e6 2.2979800384635096e6 3498.85 8.15
4008.0 50.20987949985 -168116.97201291192 2.0414771592752896e6 2.0414771592752896e6 2.2694797185537075e6 3998.55 9.45
4509.0 55.969603449450005 -186072.45874773077 1.9909908372098212e6 1.9909908372098212e6 2.2416308304193188e6 4498.5 10.5
5010.0 62.333017723099985 -203626.7982279319 1.9420895720296032e6 1.9420895720296032e6 2.2143998069293443e6 4999.0 11.0
5511.0 68.46527382720001 -220626.39965833025 1.895107162502452e6 1.895107162502452e6 2.187792086560437e6 5499.35 11.65
6012.0 74.71475407005 -237130.86639661872 1.8500622007880337e6 1.8500622007880337e6 2.1618128645779444e6 5999.45 12.55
6513.0 80.67633971074999 -253390.59455009474 1.806193764209798e6 1.806193764209798e6 2.136411500265934e6 6499.25 13.75
7014.0 86.6656068895 -269290.49328341545 1.763677494065027e6 1.763677494065027e6 2.111562566519207e6 6999.6 14.4
7515.0 93.37377537059999 -284634.40202944947 1.7230369231722024e6 1.7230369231722024e6 2.087279713810019e6 7499.85 15.15
8016.0 99.15949864375 -299706.6114852226 1.6836305978234238e6 1.6836305978234238e6 2.0635356481637487e6 7999.8 16.2
8517.0 105.6754592156 -314425.91468648677 1.6456478933036313e6 1.6456478933036313e6 2.040319661782631e6 8500.05 16.95
9018.0 111.62932425740003 -328803.4739034035 1.6091804261304126e6 1.6091804261304126e6 2.0176281230640933e6 8999.9 18.1
9519.0 118.1592599405 -342855.2415879106 1.5738759292119262e6 1.5738759292119262e6 1.995440513371485e6 9499.9 19.1
10020.0 124.11915851994999 -356627.88364064146 1.5397013823274935e6 1.5397013823274935e6 1.973738649988438e6 10000.25 19.75
10521.0 130.25618892175 -370129.4492170538 1.5067028337050355e6 1.5067028337050355e6 1.9525097492482834e6 10500.4 20.6
10521.0 136.61331456665 -370129.4492170538 1.5067028337050355e6 1.5067028337050355e6 1.933126839876838e6 11000.4 21.6
